OTU;Vigne_2023_106;Vigne_2023_52;Vigne_2023_150;Vigne_2023_346;Vigne_2023_90;Vigne_2023_329;Vigne_2023_107;Vigne_2023_26;Vigne_2023_54;Vigne_2023_337;Vigne_2023_21;Vigne_2023_345;Vigne_2023_334;Vigne_2023_97;Vigne_2023_159;Vigne_2023_18;Vigne_2023_92;Vigne_2023_84;Vigne_2023_339;Vigne_2023_15;Vigne_2023_37;Vigne_2023_115;Vigne_2023_83;Vigne_2023_57;Vigne_2023_343;Vigne_2023_127;Vigne_2023_154;Vigne_2023_148;Vigne_2023_116;Vigne_2023_147;Vigne_2023_153;Vigne_2023_105;Vigne_2023_9;Vigne_2023_128;Vigne_2023_36;Vigne_2023_332;Vigne_2023_50;Vigne_2023_89;Vigne_2023_3;Vigne_2023_78;Vigne_2023_86;Vigne_2023_123;Vigne_2023_130;Vigne_2023_344;Vigne_2023_81;Vigne_2023_66;Vigne_2023_39;Vigne_2023_12;Vigne_2023_156;Vigne_2023_328;Vigne_2023_124;Vigne_2023_20;Vigne_2023_95;Vigne_2023_110;Vigne_2023_144;Vigne_2023_134;Vigne_2023_70;Vigne_2023_141;Vigne_2023_55;Vigne_2023_152;Vigne_2023_91;Vigne_2023_80;Vigne_2023_114;Vigne_2023_118;Vigne_2023_85;Vigne_2023_158;Vigne_2023_23;Vigne_2023_29;Vigne_2023_98;Vigne_2023_94;Vigne_2023_168;Vigne_2023_61;Vigne_2023_166;Vigne_2023_340;Vigne_2023_131;Vigne_2023_17;Vigne_2023_10;Vigne_2023_48;Vigne_2023_136;Vigne_2023_102;Vigne_2023_2;Vigne_2023_327;Vigne_2023_16;Vigne_2023_88;Vigne_2023_34;Vigne_2023_77;Vigne_2023_330;Vigne_2023_341;Vigne_2023_103;Vigne_2023_117;Vigne_2023_59;Vigne_2023_338;Vigne_2023_347;Vigne_2023_63;Vigne_2023_146;Vigne_2023_28;Vigne_2023_125;Vigne_2023_24;Vigne_2023_35;Vigne_2023_138;Vigne_2023_82;Vigne_2023_101;Vigne_2023_45;Vigne_2023_71;Vigne_2023_163;Vigne_2023_139;Vigne_2023_Temoin_1;Vigne_2023_104;Vigne_2023_73;Vigne_2023_68;Vigne_2023_38;Vigne_2023_42;Vigne_2023_22;Vigne_2023_5;Vigne_2023_108;Vigne_2023_19;Vigne_2023_40;Vigne_2023_162;Vigne_2023_126;Vigne_2023_145;Vigne_2023_7;Vigne_2023_112;Vigne_2023_27;Vigne_2023_133;Vigne_2023_335;Vigne_2023_331;Vigne_2023_1;Vigne_2023_333;Vigne_2023_160;Vigne_2023_142;Vigne_2023_135;Vigne_2023_79;Vigne_2023_47;Vigne_2023_336;Vigne_2023_119;Vigne_2023_67;Vigne_2023_Temoin_2;Vigne_2023_13;Vigne_2023_6;Vigne_2023_49;Vigne_2023_167;Vigne_2023_46;Vigne_2023_155;Vigne_2023_25;Vigne_2023_149;Vigne_2023_151;Vigne_2023_65;Vigne_2023_44;Vigne_2023_109;Vigne_2023_14;Vigne_2023_41;Vigne_2023_74;Vigne_2023_30;Vigne_2023_100;Vigne_2023_87;Vigne_2023_137;Vigne_2023_62;Vigne_2023_121;Vigne_2023_72;Vigne_2023_111;Vigne_2023_53;Vigne_2023_31;Vigne_2023_64;Vigne_2023_120;Vigne_2023_4;Vigne_2023_122;Vigne_2023_140;Vigne_2023_96;Vigne_2023_43;Vigne_2023_93;Vigne_2023_143;Vigne_2023_157;Vigne_2023_99;Vigne_2023_32;Vigne_2023_165;Vigne_2023_58;Vigne_2023_33;Vigne_2023_69;Vigne_2023_164;Vigne_2023_51;Vigne_2023_60;Vigne_2023_75;Vigne_2023_76;Vigne_2023_113;Vigne_2023_8;Vigne_2023_129;Vigne_2023_161;Vigne_2023_132;Vigne_2023_34300;Vigne_2023_342;Vigne_2023_11;Vigne_2023_56;TotalCount;MappingConfidence
MZ420209.1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;91.35%
HQ643518.2;4;0;2;0;2;0;1;0;0;0;5;0;0;1;2;2;2;1;0;4;4;2;0;1;0;4;1;1;3;0;1;1;1;1;0;0;0;0;0;0;0;7;1;0;0;0;0;9;1;0;2;0;0;0;1;2;0;0;0;0;3;0;7;4;0;1;1;0;2;2;3;1;1;0;7;3;0;0;1;5;0;0;0;0;33;0;0;0;0;0;0;0;0;0;3;2;1;0;3;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;4;4;0;2;0;0;3;2;0;1;0;8;0;0;1;0;1;0;0;0;1;0;0;0;1;8;5;0;1;2;3;0;0;0;1;2;9;1;0;0;0;0;0;0;0;0;4;16;0;2;6;0;0;0;2;256;69.1%
MG865508.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;414;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;5;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;460;97.07%
KT795475.1;2;1;0;0;2;0;0;1;1;0;50;0;0;0;0;10;0;2;0;5;2;22;3;0;1;4;0;0;0;159;0;0;39;73;9;1;85;0;1;3;2;147;34;0;1;0;0;20;0;2;0;45;0;0;21;0;1;0;0;1;0;0;39;0;0;0;45;9;1;0;1;1;3;0;0;38;1;0;4;0;1;0;91;27;9;0;0;0;0;0;1;0;1;0;1;17;0;37;2;0;5;0;4;1;0;0;0;0;1;0;0;13;34;1;115;1;1;1;2;0;154;1;2;0;0;0;1;0;0;0;0;2002;4;0;45;0;0;37;4;0;0;0;0;28;0;0;1;0;16;0;3;2750;94;0;8;2;1;0;0;1;5;0;4;15;2;0;0;1;1;0;18;3;0;2;0;1343;2;1;0;0;6;1;7;0;34;0;0;1;0;0;7;0;7865;6.95%
HQ643739.2;2;0;0;0;0;0;2;0;0;0;2;0;0;1;3;0;2;0;0;1;0;0;0;0;0;1;1;1;2;0;0;3;0;1;0;0;0;0;0;4;0;3;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;2;0;2;0;3;38;0;0;0;0;0;1;1;0;1;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;11;0;1;0;0;9;1;0;1;1;0;1;3;0;0;0;0;3;0;0;1;1;2;0;3;0;0;0;0;0;0;0;0;0;5;3;0;3;1;2;0;1;0;0;1;0;162;31.2%
MG865599.1;6;0;0;0;0;1;0;0;0;0;104;0;0;0;0;38;0;19;1;57;2;118;0;0;0;32;0;0;0;71;0;0;249;75;0;0;2;0;0;1;0;149;20;0;0;5;5;109;0;0;0;175;0;0;4;0;38;1;0;0;0;2;661;2;0;0;13;11;0;0;2;54;7;0;192;56;0;0;6;0;0;0;52;3;69;0;1;0;0;0;7;0;0;16;0;6;0;11;5;0;11;0;0;2;0;9;0;0;116;0;0;2;8;10;39;0;0;42;0;0;51;0;0;0;0;1;1;0;0;1;0;0;4;1;63;0;0;140;68;0;0;0;0;47;0;0;0;0;395;0;1;39;13;0;2;3;0;1;19;0;0;5;99;412;0;0;0;0;1;0;159;0;0;44;0;5;39;0;0;0;19;1;22;0;21;0;0;116;1;1;3;0;4495;78.71%
MF036196.1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;2;0;1;0;38;0;0;0;1;0;0;0;6;0;0;13;10;0;2;0;0;0;0;0;5;4;0;0;0;0;7;0;0;0;21;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;3;0;0;0;2;0;1;0;6;0;1;0;0;0;0;2;5;4;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;1;0;0;0;0;202;19.29%
AY198250.3;1;43;5;7;3;41;5;68;49;1;35;6;1;1;6;53074;5;54;2;46;56;732;58;50;6;29;4;3;4;15;3;6;77;5;53;52;161;1;38;115;43;209;95;2;60;43;37;966;2;50;5;67;3;3;24894;1;16175;10;59;3;2;212;1062;953;46;2;33;27234;32;2;244;62;9;3;729;98;47;29;303;5;59;47;3578;471;2113;6351;51;7;11;0;13897;5;10;35147;4;35;3;32;172;2;51089;1;69;3540;4;2;28;4;47;28;35;51;41;204;30164;38;18;5;7;3;14039;9;60;2;2;45;65;45;2;4;1;54;867;6;2100;42;4;66;696;57;3;5771;5;549;1;1;1455;39;21312;57;85;86;378;2;28091;2;52;6;458;0;64;13;20;432;71;3;0;3;17996;5;4708;75;2;272;2;66;311;36;4;38;60;56;25931;5;51;2;3;258;2;8;58;64144;467346;88.03%
MT734671.1;1;46;25;49;3;24;24;20;13;12;9124;66;6;12;29;4734;16;27;52;37;10;5343;22;46;32;320;25;15;19;65620;13;27;12054;88993;66;41;758;12;21;27;30;53557;15386;29;11;33;39;14397;27;30;4;25738;33;32;3972;27;12;148;33;15;10;17;6714;17;11;26;1500;4356;2;32;0;1573;0;21;6;41620;11;8;0;47;13;31;3121;2373;5671;9;28;35;30;10;540;31;38;4;26;4665;19;7244;4;0;19;47;19;5;20;51;21;16;192;25;30;253;6211;3669;11554;34;4;3;21;12;9612;286;29;14;23;30;13;34;1;15;19;14;1650;31;2929;3;28;6862;25;20;34;34;4;19463;20;15;41;27;7149;51;55;12;943;15;6251;3146;13;30;22;16;18;22;4;8969;21;14;15;31;29;3;5429;2;28;14;12;54;10;16;25;29;101;21779;17987;24;3546;24;29;31;37;21;11353;29;532091;53.77%
KT795480.1;1;2;2;2;3;3;1;7;3;3;418;6;1;2;1;153;2;6;3;7;4;100;6;3;0;46;0;1;2;777;3;2;841;744;15;7;164;1;6;176;1;687;192;5;4;2;0;268;1;2;0;805;0;2;46;0;4;0;2;2;0;164;230;0;3;0;3973;193;4;0;7;130;4;4;1;724;5;3;4;1;1;0;635;202;231;4;4;2;1;0;6;1;4;1;2;88;1;124;2;1;5;2;41;3;0;1;3;6;5;4;5;37;72;56;174;6;3;2;4;1;438;4;2;0;0;5;3;4;4;1;1;5;69;4;56;2;11;455;8;5;4;3;3;159;0;0;125;2;190;3;1;317;578;1;103;43;8;1;290;1;3;2;89;115;8;0;0;1;71;5;1016;3;2;1;7;3;3;7;1;3;321;168;318;7;101;0;1;3;1;1;50;3;17960;45.33%
EU513600.1;2;3;0;0;0;1;0;21;18;0;6473;0;0;0;2;295;0;11;1;6;10;38;11;12;1;37;0;0;0;8;1;0;17;2;10;8;16;0;6;790;10;130;3;0;13;10;2;19;6;0;1;333;2;1;1;0;9;0;9;1;0;353;5;0;8;0;144;7;4;1;2;461;0;0;1;325;14;4;0;0;16;3;246;10;9;9;3;1;0;0;63;0;1;7;0;260;1;123;14;0;15;1;8;14;0;8;1;2;19;6;6;13;696;14;115;9;10;0;1;0;32;2;9;0;0;2;22;2;2;0;0;8;7;0;6;6;2;13;24;16;0;10;0;434;1;0;643;8;5;9;11;871;451;0;605;0;12;0;679;0;11;6;1;13;19;0;1;0;1098;2;488;5;0;7;1;8;14;1;0;4;890;801;10;0;13;0;0;4;0;1;1127;9;19809;49.79%
HQ643757.2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;3;0;0;1;0;1;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;1;0;1;0;3;0;0;0;0;3;0;2;1;1;5;3;0;1;0;0;1;0;1;166;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;2;0;0;3;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;4;0;1;2;3;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;0;1;1;0;0;0;0;0;1;254;16.58%
HQ643373.2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;1;0;0;1;4;0;0;2;0;0;1;0;0;0;0;0;1;1;26;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;1;0;1;14;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;13;0;0;2;1;0;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;26;7;2;0;1;0;3;22;0;0;0;0;3;1;1;0;1;8;0;48;0;1;0;0;0;0;0;0;0;19;14;1;1;0;0;2;0;0;0;0;0;290;62.78%
KP330778.1;1;6;1;2;2;5;1;3;5;0;11;0;0;0;1;410;1;8;5;3283;5;28;3;4;0;30;1;2;0;5;0;3;19;10;1;6;5;0;2;10;3;32;3;3;5;3;5;3879;0;3;1;403;2;1;2;1;4;2;5;4;1;6;163;1;3;1;258;4;2;4;1;77;3;1;1;294;9;8;6;2;2;2;7061;4;15;6;2;0;1;2;74;2;3;3;1;317;2;134;9;0;4;1;6;4;0;2870;1;2;23;0;3;5;863;9;6;1;1;3;1;2;15;4;9;0;0;1;9;3;0;1;0;2;5;3;8;3;1;6878;15;5;1;4;2;475;0;0;4;1;1;6;4;2;41;1;789;0;6;1;12;0;11;0;4;12;5;1;0;3;5;1;7;2;1;10738;2;3;12;6;3;3;4;663;6;2;24365;0;2;0;1;2;1428;9;66143;12.64%
AY198240.3;1;0;2;0;0;1;0;0;1;0;733;1;0;0;1;497;0;11;1;14;0;1782;0;0;1;54;0;0;0;1547;3;0;338;236;0;0;4;0;1;530;1;863;1034;1;1;1;0;623;0;3;0;1009;0;0;106;0;3;2;0;0;0;84;2693;0;1;0;28;215;2;1;3;220;0;0;44;1848;0;1;9;0;1;1;1512;62;65;0;0;0;0;1;4;0;0;3;0;148;0;231;3;1;15;0;206;14;0;6;2;1;47;0;0;99;157;56;1003;0;0;0;0;0;69;8;1;0;0;1;0;0;0;0;1;1;19;0;762;0;0;1843;62;0;0;0;2;1117;0;0;470;0;2968;1;1;1460;158;0;30;58;0;1;41;0;0;0;2239;2321;1;0;0;0;51;1;2470;3;0;6;0;1;8;0;0;0;313;1472;26;0;690;0;0;60;1;0;21;0;36951;27.73%
HQ643671.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2;2;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;2;0;0;3;0;0;1;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;1;0;0;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;1;1;0;0;0;55;0.0%
MF784742.1;2;27;3;1;2;35;1;7509;39;0;3509;3;0;1;2;511;2;36;2;11329;37;7506;45;24;0;42;1;0;0;1;3;3;196;2;550;43;48;2;29;33;41;2;198;3;43;24;24;9658;0;30;5;5701;2;3;13578;1;18;1;26;2;1;16;12009;4;33;0;5302;28;1;1;5;37;1;1;0;15991;23;21;2;3;42;22;428;25;6417;37;14;2;1;0;35;2;3;25;2;10732;2;38648;55468;1;37;2;5318;18;4;9;15;2;30;17;19;67;16325;50;3;24;14;4;1;0;27;16;73;0;0;30;55;28;3;1;3;35;20;4;1;14;2;12883;29641;48;1;21;4;25056;2;1;28;24;1;51;44;117;15489;2;87;3;29;3;19;1;31;16;215;1026;35306;0;2;3;29;1;2;3;1;14663;3;1335;33965;30;3;25;96;90;26;1;27882;2;1;1;2;2;22401;26;449339;87.36%
HQ643137.1;1;1;1;3;0;2;2;0;1;0;2;2;2;0;0;111;2;0;4;4;0;47;0;0;3;837;1;3;0;48;1;3;7;2;0;0;7;1;1;5185;7;824;3;4;1;2;0;8;0;6;1;12;1;0;15;0;1;0;0;0;0;746;787;6;0;0;1;1;0;0;21;1580;2;5;1533;9;0;4;87;0;3;7;6;0;4;0;1;0;1;2;0;3;8;1;0;2;0;1;43;0;13;1;2;36;1;2351;7;0;16;0;1;1;5;0;400;0;0;0;1;1;0;0;3;2;4;4;1;8;0;0;0;1;2;1;989;3;0;4;981;1;0;8;2;370;0;0;3981;0;1278;11;2;4546;1342;0;6;1;0;4;504;3;1;0;3;1310;1;2;1;0;119;3;2378;62;1;309;0;1;281;3;0;3;5766;1259;1;1;24;2;0;801;2;4;6;2;41277;96.84%
MN450322.1;2;3;1;2;0;0;4;0;3;0;199;11;3;3;4;70;1;46;7;69;0;1989;1;5;2;29;4;4;3;3328;1;6;413;1678;2;0;14;5;2;0;0;654;841;7;0;4;2;421;4;0;4;624;2;5;371;4;1;27;0;1;6;1;517;1;0;7;16;129;0;5;1;91;1;4;1;413;0;0;1;6;0;2;114;64;164;2;0;4;3;6;1;6;13;0;1;77;3;181;0;0;0;5;0;0;3;259;0;3;338;1;2;2;38;46;1403;0;1;5;2;2;449;19;0;1;6;3;1;2;0;4;4;0;74;5;586;0;7;545;0;1;5;0;1;154;4;2;2;1;1283;1;4;1;64;2;31;30;1;5;2;1;2;0;0;2461;0;2;1;5;1;0;1052;4;2;1;7;2;1;1;5;2;116;22;228;5;152;4;7;18;5;8;51;2;22305;43.51%
EF614956.1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;63;0;0;0;8;0;16;0;0;0;1;0;0;0;6;2;0;8;0;0;0;3;0;0;0;0;5;4;0;0;0;0;4;0;0;2;3;0;0;6;0;0;0;0;1;0;0;13;1;0;0;8;68;1;0;8;0;0;0;14;1;0;0;5;0;2;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;1;0;0;0;1;3;0;0;0;0;15;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;5;18;1;0;0;2;21;0;0;0;0;1;0;0;1;17;0;6;0;0;0;1;0;0;0;0;14;0;0;0;0;3;0;4;2;0;5;0;0;12;0;0;0;0;0;0;2;8;0;0;10;0;0;3;1;457;95.68%
KT249109.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;33.33%
HQ643443.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;4;15;1;0;1;0;1;0;0;0;1;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;2;0;0;0;0;0;6;0;0;0;0;4;0;0;3;3;0;0;0;0;0;1;1;0;0;2;3;0;0;0;0;0;0;2;3;0;2;0;0;1;0;1;0;0;1;0;0;6;0;0;2;0;0;0;0;127;92.49%
MH730803.1;0;2;0;0;0;1;0;9;1;0;2014;0;0;0;0;16603;0;2;0;34;29;15;4;9;1;4;0;0;0;1;0;0;4;0;1;2;6;0;2;7;4;346;0;1;2;1;5;14;0;3;0;83;0;0;1;0;2;0;5;0;0;3;18;0;2;0;17;1;0;0;0;7;1;0;1;1575;2;3;0;0;2;7;46;3;22;0;1;0;0;0;4;0;0;1;0;18;0;56;6;0;6;0;12;5;0;0;1;0;3;3;5;6;22;0;21;5;1;0;0;0;44;0;0;0;0;1;5;1;0;0;0;4;0;0;50;0;0;86;34;3;0;2;0;109;0;0;3;0;11;3;2;15;28;0;7;0;6;0;2;0;4;2;74;2;7;0;0;0;2;0;0;0;0;20;0;9;18;0;0;2;12;69;4;0;105;1;0;2;0;0;12;3;21868;91.0%
MN784447.1;0;15;2;0;2;9;0;5;3;0;1301;2;1;1;1;1305;1;653;2;862;1;4306;2;5;1;43;0;0;0;13;0;1;631;7;5;13;7;1;4;2148;9;62;3;1;5;5;1;2894;11;16;3;1057;0;1;0;0;10;0;7;0;0;332;4819;0;1;1;284;7;1;0;19;2071;23;2;4;10012;3;9;225;1;11;11;10221;2;10;0;11;2;0;1;4;0;1;5;0;2;0;9;1;0;1;0;3203;4;0;165;12;1;5257;1;7;1300;1935;7;241;6;2;14;1;1;4;0;6;0;0;10;2;17;0;0;0;3;4;2;6;2;2;4352;9;4;2;15;4;47;1;1;2124;9;55;22;9;7290;554;0;166;1;5;0;74;2;8;1;16399;1646;1;0;1;2;36;0;2022;886;0;6;2;4;9;12;0;3;2081;575;4;0;27;0;1;2;0;2;9;2;94246;61.88%
HQ643727.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;17;0;0;0;0;0;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;9.06%
GU189410.1;0;4;0;0;0;3;0;6;3;0;3;0;0;0;1;2934;0;5;0;0;4;6;2;2;0;0;0;0;0;2;1;0;8;0;1;3;11;0;0;7;6;1;0;0;6;3;3;139;0;5;0;2;0;0;16;0;22;0;8;0;0;12;13;15;6;0;1;1603;0;0;1;6;0;0;14;11;7;4;8;0;3;3;2494;2;281;306;4;0;0;0;694;1;0;245;0;2;0;2;8;0;63;0;6;42;0;0;0;0;5;1;1;5;3;8;15;2;2;0;0;0;854;0;6;0;0;2;6;2;0;0;0;5;46;0;2;2;0;4;10;8;0;3145;0;17;0;0;139;1;3;4;3;4;25;0;74;0;8;0;72;0;6;1;6;4;4;0;0;1;2615;0;182;0;0;11;0;1;16;1;0;2;1;2;7562;0;5;0;0;0;0;0;3;2127;26108;83.47%
KT795474.1;0;2;0;0;0;0;0;4;1;0;238;0;0;1;1;84;0;2;0;10;3;31;2;1;0;6;0;1;0;53;0;0;441;58;6;3;109;0;0;4;0;156;32;0;2;1;1;32;0;1;0;514;0;0;18;0;0;0;2;0;0;1;39;1;3;0;154;8;0;0;1;1;1;0;3;130;4;3;3;0;4;1;178;31;13;5;1;0;0;0;0;0;0;3;1;14;0;51;3;0;2;0;82;1;0;0;0;0;3;1;0;22;868;6;111;0;4;1;0;0;175;0;4;0;1;0;6;0;0;0;0;255;5;0;59;2;0;62;5;5;0;0;4;35;0;0;0;0;24;1;2;211;118;0;120;1;2;0;1;1;6;2;74;25;1;0;0;0;3;1;14;2;0;2;0;75;2;0;0;1;108;2;6;0;33;0;0;2;0;0;12;2;5050;11.75%
AY198301.3;0;23;0;0;0;18;0;26;24;0;3473;0;0;0;0;4390;0;23;0;34;25;14;23;25;0;6;0;0;0;13;0;0;7082;2;24;43;32;0;16;94;17;21;2;0;24;18;22;48;0;18;0;7462;0;0;0;0;20;0;20;0;0;26;23;0;9;0;1704;19;0;0;0;52;0;0;1;34095;16;13;0;0;17;10;34162;10;32;14;10;0;0;0;13;0;0;21;0;19;0;34;21;0;34;0;11156;16;0;0;9;0;22;18;23;5722;8065;31;9;14;16;0;1;0;860;1;30;0;0;17;21;20;0;0;0;16;13;0;9;11;0;13504;30;24;0;15;0;58;0;0;88;15;31;25;45;17281;48;0;1742;0;17;0;24;0;10;7;53352;23;28;0;0;0;42;0;34;0;0;24;0;29;22;11;0;14;2786;59;9;0;84;0;0;1;0;0;625;21;209665;28.5%
KY986679.1;0;10;0;0;0;12;0;15;11;0;13;0;0;0;0;222;0;11;0;13;30;0;20;13;0;0;0;0;0;1;0;0;28;0;6;16;30;0;13;18;14;0;0;0;13;16;11;28;0;14;0;10;0;0;0;0;57006;0;16;0;0;1;0;0;6;0;8;328;0;0;0;7;0;0;0;35;13;17;0;0;14;11;456;9;75;65;8;0;0;0;56;0;0;7;0;9;0;7;13;0;29;0;16;15;0;0;10;0;8;7;9;13;12;26;4;9;13;5;0;0;124;0;16;0;0;15;26;20;0;0;0;15;16;0;3;8;0;24;31;23;0;113;0;17;0;0;30;28;6;25;17;19;12;0;11;0;12;0;14;0;8;6;9;0;18;0;0;0;412;0;49;0;0;17;0;21;15;10;0;13;16;14;587;0;13;0;0;0;0;0;15;183;60962;99.57%
